f127.0.0.1:2222,127.0.0.1:1111	0	1	0	0	0
f127.0.0.1:2222,127.0.0.1:1111	0	0
f127.0.0.1:1111,127.0.0.1:2222	1	1	0	0	1
f127.0.0.1:1111,127.0.0.1:2222	2	0
f127.0.0.1:2222,127.0.0.1:1111	2	1	0	0	2
f127.0.0.1:2222,127.0.0.1:1111	3	0
f127.0.0.1:1111,127.0.0.1:2222	4	1	1	0	3
f127.0.0.1:1111,127.0.0.1:2222	10	0
f127.0.0.1:2222,127.0.0.1:1111	10	1	0	1	4
f127.0.0.1:2222,127.0.0.1:1111	11	0
f127.0.0.1:1111,127.0.0.1:2222	11	1	2	0	3
f127.0.0.1:1111,127.0.0.1:2222	11	2	2	0	3
f127.0.0.1:1111,127.0.0.1:2222	16	1
f127.0.0.1:2222,127.0.0.1:1111	16	2	0	2	4
f127.0.0.1:2222,127.0.0.1:1111	17	1
f127.0.0.1:1111,127.0.0.1:2222	17	2	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	17	3	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	17	2
f127.0.0.1:1111,127.0.0.1:2222	17	-1	4	0
f127.0.0.1:1111,127.0.0.1:2222	22	1
f127.0.0.1:2222,127.0.0.1:1111	22	2	0	2	4
f127.0.0.1:2222,127.0.0.1:1111	22	1
f127.0.0.1:1111,127.0.0.1:2222	23	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	23	3	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	28	2
f127.0.0.1:2222,127.0.0.1:1111	28	3	0	2	4
f127.0.0.1:2222,127.0.0.1:1111	28	2
f127.0.0.1:2222,127.0.0.1:1111	28	-1	0	2
f127.0.0.1:1111,127.0.0.1:2222	34	1
f127.0.0.1:2222,127.0.0.1:1111	34	2	0	2	4
f127.0.0.1:2222,127.0.0.1:1111	34	1
f127.0.0.1:1111,127.0.0.1:2222	34	2	8	0	3
f127.0.0.1:1111,127.0.0.1:2222	35	3	8	0	3
f127.0.0.1:1111,127.0.0.1:2222	39	2
f127.0.0.1:2222,127.0.0.1:1111	39	3	0	2	4
f127.0.0.1:2222,127.0.0.1:1111	40	2
f127.0.0.1:1111,127.0.0.1:2222	40	3	3	0	3
f127.0.0.1:1111,127.0.0.1:2222	46	2
f127.0.0.1:2222,127.0.0.1:1111	46	3	0	2	4
f127.0.0.1:2222,127.0.0.1:1111	46	2
f127.0.0.1:1111,127.0.0.1:2222	46	3	10	0	3
f127.0.0.1:1111,127.0.0.1:2222	46	4	10	0	3
f127.0.0.1:1111,127.0.0.1:2222	51	3
f127.0.0.1:2222,127.0.0.1:1111	51	4	0	2	4
f127.0.0.1:2222,127.0.0.1:1111	52	3
f127.0.0.1:1111,127.0.0.1:2222	52	4	12	0	3
f127.0.0.1:1111,127.0.0.1:2222	52	5	12	0	3
f127.0.0.1:1111,127.0.0.1:2222	57	4
f127.0.0.1:2222,127.0.0.1:1111	57	5	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	57	4
f127.0.0.1:1111,127.0.0.1:2222	57	5	14	0	3
f127.0.0.1:1111,127.0.0.1:2222	63	4
f127.0.0.1:2222,127.0.0.1:1111	63	5	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	63	4
f127.0.0.1:1111,127.0.0.1:2222	63	5	15	0	3
f127.0.0.1:1111,127.0.0.1:2222	68	4
f127.0.0.1:2222,127.0.0.1:1111	68	5	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	69	4
f127.0.0.1:1111,127.0.0.1:2222	69	5	16	0	3
f127.0.0.1:1111,127.0.0.1:2222	74	4
f127.0.0.1:2222,127.0.0.1:1111	74	5	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	74	4
f127.0.0.1:1111,127.0.0.1:2222	74	5	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	79	4
f127.0.0.1:2222,127.0.0.1:1111	79	5	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	80	4
f127.0.0.1:1111,127.0.0.1:2222	80	5	17	0	3
f127.0.0.1:1111,127.0.0.1:2222	80	6	17	0	3
f127.0.0.1:1111,127.0.0.1:2222	80	5
f127.0.0.1:1111,127.0.0.1:2222	80	-1	17	0
f127.0.0.1:1111,127.0.0.1:2222	85	4
f127.0.0.1:2222,127.0.0.1:1111	85	5	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	85	4
f127.0.0.1:1111,127.0.0.1:2222	85	5	19	0	3
f127.0.0.1:1111,127.0.0.1:2222	85	4
f127.0.0.1:1111,127.0.0.1:2222	85	-1	19	0
f127.0.0.1:1111,127.0.0.1:2222	85	5	19	0	3
f127.0.0.1:1111,127.0.0.1:2222	91	4
f127.0.0.1:2222,127.0.0.1:1111	91	5	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	91	4
f127.0.0.1:1111,127.0.0.1:2222	91	5	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	96	4
f127.0.0.1:2222,127.0.0.1:1111	96	5	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	96	4
f127.0.0.1:2222,127.0.0.1:1111	96	-1	0	4
f127.0.0.1:1111,127.0.0.1:2222	102	3
f127.0.0.1:2222,127.0.0.1:1111	102	4	0	6	4
f127.0.0.1:2222,127.0.0.1:1111	102	3
f127.0.0.1:1111,127.0.0.1:2222	102	4	21	0	3
f127.0.0.1:1111,127.0.0.1:2222	102	5	21	0	3
f127.0.0.1:1111,127.0.0.1:2222	107	4
f127.0.0.1:2222,127.0.0.1:1111	107	5	0	6	4
f127.0.0.1:2222,127.0.0.1:1111	108	4
f127.0.0.1:1111,127.0.0.1:2222	108	5	23	0	3
f127.0.0.1:1111,127.0.0.1:2222	113	4
f127.0.0.1:2222,127.0.0.1:1111	113	5	0	6	4
f127.0.0.1:2222,127.0.0.1:1111	113	4
f127.0.0.1:1111,127.0.0.1:2222	113	5	24	0	3
f127.0.0.1:1111,127.0.0.1:2222	119	4
f127.0.0.1:2222,127.0.0.1:1111	119	5	0	6	4
